CPU,RAM,Storage,GPU,ScreenSize,ScreenType,TouchType,Form,Region,Price in INR
CPU 20,RAM 3,S 41,GPU 10,15,UHD,Touch,Laptop,FRA,3889180.554
CPU 20,RAM 2,S 23,GPU 28,15,FHD,Non-Touch,Laptop,CHN,10384605
CPU 20,RAM 11,S 41,GPU 28,13,UHD,Touch,Laptop,AUS,1867868.1
CPU 35,RAM 3,S 70,GPU 18,DT,DT,DT,Desktop,IND,6898929.59
CPU 10,RAM 15,S 41,GPU 5,15,FHD,Touch,Laptop,GBR,2498068.111
CPU 1,RAM 7,S 23,GPU 2,17,QHD,Non-Touch,Laptop,GER,9528404.172
CPU 44,RAM 15,S 39,GPU 28,14,HD+,Non-Touch,Laptop,AUS,1125139.68
CPU 20,RAM 15,S 41,GPU 5,13,QHD,Touch,Laptop,IND,4516645.644
CPU 20,RAM 3,S 49,GPU 28,14,FHD,Touch,Laptop,AUS,3512587.26
CPU 25,RAM 3,S 5,GPU 17,17,FHD,Non-Touch,Laptop,FRA,2927380.484
CPU 22,RAM 7,S 11,GPU 11,DT,DT,DT,Desktop,FRA,5230268.484
CPU 20,RAM 15,S 23,GPU 17,15,FHD,Non-Touch,Laptop,FRA,2503404.442
CPU 12,RAM 15,S 54,GPU 10,15,FHD,Touch,Laptop,IND,2074009.182
CPU 20,RAM 15,S 23,GPU 7,DT,DT,DT,Desktop,FRA,2445605.435
CPU 20,RAM 15,S 41,GPU 28,13,UHD,Touch,Laptop,IND,2993597.46
CPU 22,RAM 3,S 52,GPU 26,15,FHD,Non-Touch,Laptop,AUS,4390734.6
CPU 6,RAM 13,S 23,GPU 28,15,HD+,Touch,Laptop,CHN,956179.854
CPU 25,RAM 15,S 39,GPU 28,15,FHD,Non-Touch,Laptop,AUS,1701252.63
CPU 12,RAM 7,S 24,GPU 3,DT,DT,DT,Desktop,FRA,4677403.521
CPU 22,RAM 15,S 70,GPU 14,DT,DT,DT,Desktop,FRA,1664790.414
CPU 25,RAM 14,S 23,GPU 28,15,FHD,Non-Touch,Laptop,GBR,1393135.898
CPU 20,RAM 3,S 16,GPU 7,17,FHD,Non-Touch,Laptop,IND,4723362.882
CPU 20,RAM 7,S 70,GPU 26,15,FHD,Non-Touch,Laptop,CHN,8970721.2
CPU 25,RAM 15,S 5,GPU 17,15,FHD,Non-Touch,Laptop,FRA,2455230.358
CPU 25,RAM 13,S 53,GPU 28,15,UHD,Touch,Laptop,FRA,1057194.6
CPU 22,RAM 7,S 54,GPU 26,17,FHD,Non-Touch,Laptop,FRA,4901730.393
CPU 12,RAM 3,S 56,GPU 9,DT,DT,DT,Desktop,IND,2414834.954
CPU 1,RAM 7,S 70,GPU 5,15,FHD,Non-Touch,Laptop,IND,8353494.94
CPU 35,RAM 15,S 56,GPU 5,15,FHD,Non-Touch,Laptop,BRA,1710822.87866
CPU 20,RAM 3,S 56,GPU 26,17,FHD,Non-Touch,Desktop,USA,6640701.984
CPU 20,RAM 3,S 4,GPU 19,17,FHD,Non-Touch,Laptop,CAN,4592037.45
CPU 10,RAM 3,S 29,GPU 26,DT,DT,DT,Desktop,FRA,3730630.365
CPU 20,RAM 3,S 52,GPU 26,17,FHD,Non-Touch,Desktop,CAN,7031969.49
CPU 20,RAM 3,S 31,GPU 2,DT,DT,DT,Desktop,FRA,3635045.351
CPU 20,RAM 13,S 56,GPU 28,15,FHD,Non-Touch,Laptop,AUS,1385453.16
CPU 20,RAM 3,S 23,GPU 5,17,FHD,Non-Touch,Laptop,FRA,2065330.33
CPU 22,RAM 15,S 23,GPU 9,DT,DT,DT,Desktop,FRA,1714924.288
CPU 10,RAM 3,S 52,GPU 5,15,FHD,Non-Touch,Laptop,AUS,1687177.8
CPU 25,RAM 15,S 23,GPU 28,13,QHD+,Non-Touch,Laptop,GBR,5362982.94
CPU 12,RAM 5,S 23,GPU 19,DT,DT,DT,Desktop,FRA,1676690.274
CPU 22,RAM 3,S 23,GPU 12,DT,DT,DT,Desktop,FRA,2169840.274
CPU 10,RAM 15,S 23,GPU 5,DT,DT,DT,Desktop,GBR,1909040.105
CPU 5,RAM 13,S 41,GPU 28,12,HD+,Non-Touch,Laptop,AUS,1745751
CPU 10,RAM 15,S 55,GPU 34,DT,DT,DT,Desktop,FRA,2171380.26
CPU 20,RAM 15,S 54,GPU 18,DT,DT,DT,Desktop,FRA,3680184.767
CPU 22,RAM 3,S 23,GPU 28,15,QHD+,Non-Touch,Laptop,IND,8217223.938
CPU 20,RAM 3,S 23,GPU 32,15,QHD+,Non-Touch,Laptop,IND,8006381.656
CPU 6,RAM 15,S 5,GPU 19,15,FHD,Non-Touch,Laptop,GER,2740638.7372
CPU 19,RAM 7,S 44,GPU 31,DT,DT,DT,Desktop,CAN,12840074.3198
CPU 22,RAM 15,S 41,GPU 19,15,FHD,Non-Touch,Laptop,FRA,1778470.239
CPU 26,RAM 15,S 39,GPU 28,15,HD+,Non-Touch,Laptop,AUS,831722.85
CPU 22,RAM 3,S 31,GPU 17,DT,DT,DT,Desktop,FRA,2716827.169
CPU 25,RAM 15,S 57,GPU 14,15,FHD,Non-Touch,Laptop,GER,1897488.054
CPU 25,RAM 15,S 56,GPU 19,DT,DT,DT,Desktop,IND,2799787.298
CPU 20,RAM 3,S 40,GPU 14,15,FHD,Non-Touch,Laptop,BRA,2593786.72105
CPU 20,RAM 3,S 10,GPU 28,15,QHD+,Non-Touch,Laptop,IND,14014872.508
CPU 20,RAM 13,S 54,GPU 14,DT,DT,DT,Desktop,FRA,1996513.134
CPU 20,RAM 15,S 52,GPU 14,17,FHD,Non-Touch,Laptop,IND,2816435.328
CPU 20,RAM 3,S 41,GPU 19,15,UHD,Touch,Laptop,AUS,5932689.84
CPU 20,RAM 3,S 4,GPU 18,17,FHD,Non-Touch,Laptop,IND,4663989.176
CPU 25,RAM 11,S 4,GPU 28,13,UHD,Touch,Laptop,FRA,1947534.127
CPU 42,RAM 13,S 23,GPU 28,15,HD+,Touch,Laptop,CHN,1032379.236
CPU 20,RAM 7,S 67,GPU 19,15,FHD,Non-Touch,Laptop,AUS,6858301.8
CPU 20,RAM 3,S 52,GPU 19,15,UHD,Non-Touch,Laptop,IND,3994002.404
CPU 6,RAM 3,S 41,GPU 19,DT,DT,DT,Desktop,BRA,2818871.3777
CPU 20,RAM 15,S 23,GPU 28,12,FHD,Touch,Laptop,FRA,4175750.6
CPU 20,RAM 3,S 54,GPU 28,12,QHD+,Touch,Laptop,USA,4129607.664
CPU 20,RAM 15,S 54,GPU 19,DT,DT,DT,Desktop,AUS,2003268.96
CPU 20,RAM 3,S 23,GPU 28,12,FHD+,Touch,Laptop,AUS,3585661.17
CPU 22,RAM 7,S 59,GPU 26,17,FHD,Non-Touch,Laptop,FRA,4577210.099
CPU 6,RAM 15,S 39,GPU 28,DT,DT,DT,Desktop,GER,1813539
CPU 13,RAM 15,S 41,GPU 13,13,QHD+,Touch,Laptop,CAN,3886129.0923
CPU 12,RAM 15,S 23,GPU 10,15,HD+,Non-Touch,Laptop,GER,837914.602
CPU 22,RAM 3,S 41,GPU 28,15,QHD+,Non-Touch,Laptop,AUS,5444139.855
CPU 20,RAM 3,S 4,GPU 19,15,FHD,Non-Touch,Laptop,IND,3055829.952
CPU 5,RAM 15,S 23,GPU 22,15,FHD,Non-Touch,Laptop,IND,3538701.292
CPU 12,RAM 15,S 41,GPU 32,15,FHD,Non-Touch,Laptop,IND,1671961.4877
CPU 12,RAM 15,S 40,GPU 10,13,FHD,Non-Touch,Laptop,IND,1669642.534
CPU 42,RAM 3,S 23,GPU 19,15,QHD+,Touch,Laptop,AUS,7774166.4
CPU 20,RAM 15,S 52,GPU 7,17,FHD,Non-Touch,Laptop,FRA,3695226.5
CPU 35,RAM 15,S 54,GPU 28,14,FHD,Non-Touch,Laptop,AUS,1528017.33
CPU 2,RAM 16,S 4,GPU 7,DT,DT,DT,Desktop,IND,1312026.66
CPU 20,RAM 3,S 28,GPU 26,DT,DT,DT,Desktop,FRA,3801119.994
CPU 20,RAM 15,S 54,GPU 28,13,HD+,Non-Touch,Laptop,FRA,3103079.98
CPU 25,RAM 13,S 40,GPU 28,14,HD+,Non-Touch,Laptop,CHN,901484.262
CPU 25,RAM 15,S 41,GPU 28,15,UHD,Non-Touch,Laptop,FRA,1101079.98
CPU 22,RAM 3,S 17,GPU 3,DT,DT,DT,Desktop,FRA,4316319.924
CPU 20,RAM 3,S 13,GPU 34,DT,DT,DT,Desktop,FRA,2264612.959
CPU 20,RAM 15,S 5,GPU 28,13,FHD,Touch,Laptop,GER,2390681.874
CPU 20,RAM 3,S 18,GPU 3,DT,DT,DT,Desktop,IND,3781138.9
CPU 25,RAM 13,S 23,GPU 28,15,HD+,Non-Touch,Laptop,AUS,901859.28
CPU 20,RAM 3,S 41,GPU 28,13,FHD,Touch,Laptop,FRA,2066365.938
CPU 22,RAM 1,S 43,GPU 18,DT,DT,DT,Desktop,FRA,2448397.931
CPU 20,RAM 3,S 41,GPU 28,15.4,QHD+,Non-Touch,Laptop,AUS,4995310.32
CPU 20,RAM 3,S 41,GPU 5,15,FHD,Non-Touch,Laptop,GBR,2676337.587
CPU 20,RAM 15,S 41,GPU 28,13,FHD+,Touch,Laptop,AUS,3587441.76
CPU 19,RAM 3,S 52,GPU 3,DT,DT,DT,Desktop,IND,9374625.876
CPU 15,RAM 13,S 23,GPU 28,14,HD+,Non-Touch,Laptop,CAN,677844.44
CPU 20,RAM 7,S 70,GPU 3,15,FHD,Non-Touch,Laptop,CHN,11306131.2
CPU 1,RAM 6,S 28,GPU 3,17,FHD,Non-Touch,Laptop,FRA,6856759.833
CPU 5,RAM 15,S 54,GPU 28,14,FHD,Non-Touch,Laptop,FRA,1712178.3
CPU 19,RAM 3,S 70,GPU 7,DT,DT,DT,Desktop,FRA,4636779.84
CPU 22,RAM 7,S 56,GPU 19,DT,DT,DT,Desktop,AUS,2418057.705
CPU 20,RAM 3,S 52,GPU 26,15,FHD,Non-Touch,Laptop,IND,5457633.93
CPU 20,RAM 15,S 70,GPU 14,15,UHD,Touch,Laptop,FRA,4607631.791
CPU 22,RAM 7,S 52,GPU 18,17,FHD,Non-Touch,Laptop,IND,8204757.12
CPU 20,RAM 15,S 54,GPU 28,13,FHD,Touch,Laptop,AUS,4511510.64
CPU 16,RAM 13,S 39,GPU 28,14,HD+,Non-Touch,Laptop,AUS,939415.365
CPU 13,RAM 15,S 4,GPU 1,15,FHD,Non-Touch,Laptop,IND,2378976.642
CPU 22,RAM 7,S 23,GPU 3,17,FHD,Non-Touch,Laptop,FRA,5866679.77
CPU 1,RAM 3,S 54,GPU 14,15,FHD,Touch,Laptop,IND,5315411.598
CPU 1,RAM 7,S 59,GPU 3,15,UHD,Non-Touch,Laptop,FRA,9075563.742
CPU 20,RAM 15,S 13,GPU 18,DT,DT,DT,Desktop,FRA,2427579.77
CPU 20,RAM 7,S 23,GPU 19,17,FHD,Non-Touch,Laptop,CHN,6093763.2
CPU 6,RAM 15,S 40,GPU 28,13,UHD,Touch,Laptop,AUS,3364653.6
CPU 10,RAM 13,S 23,GPU 5,15,FHD,Non-Touch,Laptop,GER,1703739.996
CPU 20,RAM 16,S 56,GPU 28,17,FHD,Touch,Laptop,FRA,2069151.714
CPU 20,RAM 7,S 23,GPU 4,15,FHD,Non-Touch,Laptop,FRA,1824970
CPU 20,RAM 3,S 39,GPU 18,17,FHD,Non-Touch,Laptop,CHN,6451968.6
CPU 22,RAM 15,S 41,GPU 17,15,FHD,Non-Touch,Laptop,FRA,2130744.707
CPU 20,RAM 3,S 56,GPU 26,DT,DT,DT,Desktop,IND,4619923.728
CPU 20,RAM 7,S 16,GPU 11,DT,DT,DT,Desktop,FRA,7719299.686
CPU 22,RAM 3,S 54,GPU 28,15,QHD+,Non-Touch,Laptop,IND,7272089.958
CPU 20,RAM 7,S 41,GPU 18,15,FHD,Non-Touch,Laptop,CAN,4350210.41
CPU 20,RAM 7,S 52,GPU 3,17,FHD,Non-Touch,Laptop,IND,9065123.676
CPU 42,RAM 13,S 23,GPU 28,14,HD+,Non-Touch,Laptop,AUS,914455.08
CPU 12,RAM 3,S 54,GPU 28,15,FHD,Non-Touch,Laptop,AUS,3046795.29
CPU 2,RAM 13,S 40,GPU 28,15,HD+,Non-Touch,Laptop,GBR,1875418.636
CPU 20,RAM 15,S 23,GPU 18,15,FHD,Non-Touch,Laptop,IND,3274085.584
CPU 25,RAM 15,S 29,GPU 14,DT,DT,DT,Desktop,FRA,1486478.637
CPU 42,RAM 15,S 23,GPU 28,27,FHD,Non-Touch,Desktop,CAN,2367632.6037
CPU 40,RAM 13,S 39,GPU 28,14,HD+,Non-Touch,Laptop,FRA,573204.604
CPU 35,RAM 15,S 70,GPU 14,DT,DT,DT,Desktop,FRA,5709459.609
CPU 1,RAM 3,S 54,GPU 19,15,FHD,Non-Touch,Laptop,FRA,2851779.63
CPU 42,RAM 15,S 4,GPU 28,15,FHD,Non-Touch,Laptop,IND,1059007.76898
CPU 20,RAM 3,S 55,GPU 7,17,UHD,Non-Touch,Laptop,FRA,4276209.637
CPU 22,RAM 15,S 16,GPU 17,DT,DT,DT,Desktop,FRA,2761063.123
CPU 25,RAM 15,S 70,GPU 14,15,FHD,Non-Touch,Laptop,AUS,1929289.215
CPU 6,RAM 13,S 4,GPU 28,15,HD+,Non-Touch,Laptop,AUS,1255031.82
CPU 22,RAM 3,S 54,GPU 12,15,UHD,Non-Touch,Laptop,USA,4403002.52952
CPU 13,RAM 3,S 4,GPU 6,15,UHD,Touch,Laptop,GER,3431568
CPU 20,RAM 15,S 41,GPU 7,DT,DT,DT,Desktop,FRA,1888089.588
CPU 12,RAM 3,S 56,GPU 32,DT,DT,DT,Desktop,IND,2887930.584
CPU 20,RAM 3,S 56,GPU 2,15,UHD,Non-Touch,Laptop,FRA,4499859.546
CPU 20,RAM 3,S 70,GPU 28,13,QHD+,Non-Touch,Laptop,GBR,8566719.525
CPU 25,RAM 7,S 60,GPU 14,15,FHD,Non-Touch,Laptop,FRA,1433229.525
CPU 20,RAM 3,S 56,GPU 5,17,FHD,Non-Touch,Laptop,FRA,2456139.532
CPU 1,RAM 7,S 54,GPU 3,17,UHD,Non-Touch,Laptop,CAN,9453009.93
CPU 25,RAM 15,S 39,GPU 28,DT,DT,DT,Desktop,CHN,1351290.528
CPU 25,RAM 15,S 5,GPU 28,13,FHD,Touch,Laptop,GER,2268892.962
CPU 20,RAM 15,S 23,GPU 19,15,UHD,Non-Touch,Laptop,FRA,2395554.525
CPU 25,RAM 15,S 52,GPU 19,DT,DT,DT,Desktop,BRA,2558365.46847
CPU 25,RAM 3,S 18,GPU 3,DT,DT,DT,Desktop,IND,4356875.768
CPU 20,RAM 15,S 4,GPU 18,15,FHD,Touch,Laptop,IND,3768517.62
CPU 20,RAM 3,S 13,GPU 3,DT,DT,DT,Desktop,FRA,3985709.455
CPU 20,RAM 3,S 41,GPU 7,17,FHD,Non-Touch,Laptop,IND,3872509.368
CPU 44,RAM 15,S 39,GPU 28,15,HD+,Non-Touch,Laptop,AUS,1077569.535
CPU 20,RAM 2,S 16,GPU 7,DT,DT,DT,Desktop,IND,3509234.568
CPU 20,RAM 3,S 52,GPU 3,15,FHD,Non-Touch,Laptop,AUS,9263841.195
CPU 25,RAM 15,S 40,GPU 5,15,FHD,Non-Touch,Laptop,AUS,1543191.3
CPU 5,RAM 13,S 39,GPU 28,13,HD+,Non-Touch,Laptop,GER,1238494.6
CPU 20,RAM 7,S 59,GPU 26,17,FHD,Non-Touch,Laptop,FRA,4834634.427
CPU 9,RAM 15,S 23,GPU 19,DT,DT,DT,Desktop,FRA,1752254.385
CPU 7,RAM 15,S 39,GPU 28,15,HD+,Non-Touch,Laptop,AUS,958288.275
CPU 20,RAM 3,S 56,GPU 9,DT,DT,DT,Desktop,FRA,2266089.399
CPU 20,RAM 3,S 70,GPU 5,27,FHD,Touch,Desktop,GBR,4007563.98
CPU 12,RAM 1,S 23,GPU 26,DT,DT,DT,Desktop,FRA,1791048.413
CPU 25,RAM 15,S 23,GPU 5,17,FHD,Touch,Laptop,IND,2432612.952
CPU 20,RAM 3,S 56,GPU 26,15,UHD,Non-Touch,Laptop,GER,4799050.9056
CPU 19,RAM 6,S 58,GPU 11,DT,DT,DT,0,IND,19434118.088
CPU 25,RAM 3,S 23,GPU 14,15,FHD,Non-Touch,Laptop,FRA,1339954.385
CPU 42,RAM 13,S 23,GPU 28,15,HD+,Non-Touch,Laptop,CHN,1074011.4
CPU 25,RAM 15,S 41,GPU 28,15,FHD,Non-Touch,Laptop,IND,3627038.688
CPU 6,RAM 15,S 23,GPU 28,14,FHD,Touch,Laptop,GER,1940619.912
CPU 6,RAM 15,S 23,GPU 7,15,UHD,Non-Touch,Laptop,FRA,3057215.343
CPU 25,RAM 15,S 55,GPU 18,DT,DT,DT,Desktop,FRA,3274113.843
CPU 25,RAM 15,S 4,GPU 28,23,FHD,Non-Touch,Desktop,CAN,2418274.04
CPU 20,RAM 15,S 41,GPU 28,13,QHD+,Touch,Laptop,AUS,3103221.66
CPU 6,RAM 15,S 56,GPU 5,15,FHD,Non-Touch,Laptop,IND,2931507.04
CPU 19,RAM 3,S 49,GPU 11,DT,DT,DT,Desktop,AUS,15550188.99
CPU 10,RAM 15,S 75,GPU 5,DT,DT,DT,Desktop,FRA,1758204.315
CPU 20,RAM 7,S 23,GPU 2,18,FHD,Non-Touch,Laptop,CAN,11582345.32
CPU 22,RAM 3,S 23,GPU 3,15,FHD,Non-Touch,Laptop,IND,7337389.388
CPU 23,RAM 13,S 40,GPU 28,12,UHD,Touch,Laptop,AUS,1395812.88
CPU 25,RAM 15,S 40,GPU 28,12,QHD+,Touch,Laptop,AUS,2239313.58
CPU 20,RAM 3,S 55,GPU 19,DT,DT,DT,Desktop,IND,3912132.588
CPU 12,RAM 3,S 56,GPU 26,DT,DT,DT,Desktop,IND,4149453.952
CPU 6,RAM 15,S 40,GPU 28,13,QHD+,Non-Touch,Laptop,GBR,3042845.421
CPU 20,RAM 15,S 56,GPU 19,DT,DT,DT,Desktop,FRA,2284527.693
CPU 25,RAM 15,S 37,GPU 28,DT,DT,DT,Desktop,GER,3080790.132
CPU 20,RAM 15,S 52,GPU 28,15,FHD,Non-Touch,Laptop,GER,4686066
CPU 20,RAM 3,S 40,GPU 19,15,FHD,Non-Touch,Laptop,CHN,5239080
CPU 25,RAM 8,S 5,GPU 19,DT,DT,DT,Desktop,FRA,1871538.2
CPU 20,RAM 7,S 23,GPU 18,17,FHD,Non-Touch,Laptop,CHN,8051148
CPU 12,RAM 15,S 23,GPU 10,15,FHD,Non-Touch,Laptop,FRA,1247379.21
CPU 20,RAM 3,S 23,GPU 19,15,QHD+,Touch,Laptop,USA,7266647.808
CPU 19,RAM 3,S 54,GPU 11,DT,DT,DT,Desktop,FRA,7065313.689
CPU 6,RAM 15,S 70,GPU 28,15,HD,Non-Touch,Laptop,CHN,1179212.328
CPU 1,RAM 7,S 59,GPU 2,17,UHD,Non-Touch,Laptop,FRA,8321579.196
CPU 1,RAM 3,S 54,GPU 32,15,QHD+,Non-Touch,Laptop,IND,8192092.062
CPU 25,RAM 15,S 49,GPU 28,14,FHD,Non-Touch,Laptop,BRA,1769832.9019
CPU 20,RAM 13,S 56,GPU 5,15,FHD,Non-Touch,Laptop,FRA,1414017.5
CPU 22,RAM 3,S 9,GPU 3,DT,DT,DT,Desktop,FRA,4522042.161
CPU 25,RAM 13,S 4,GPU 28,14,FHD,Non-Touch,Laptop,AUS,1532382.705
CPU 25,RAM 13,S 39,GPU 28,13,HD+,Non-Touch,Laptop,BRA,1822540.4841
CPU 22,RAM 1,S 56,GPU 17,15,FHD,Non-Touch,Laptop,FRA,2921251.9
CPU 6,RAM 15,S 4,GPU 33,DT,DT,DT,Desktop,IND,1233717.2757
CPU 22,RAM 3,S 56,GPU 26,17,FHD,Non-Touch,Laptop,AUS,9186115.47
CPU 35,RAM 15,S 23,GPU 32,17,FHD,Non-Touch,Desktop,GER,1784198.78
CPU 20,RAM 15,S 54,GPU 17,DT,DT,DT,Desktop,FRA,3653485.563
CPU 20,RAM 7,S 39,GPU 28,15,UHD,Non-Touch,Desktop,CHN,11758219.2
CPU 6,RAM 15,S 40,GPU 28,13,UHD,Non-Touch,Laptop,FRA,2508219.098
CPU 20,RAM 3,S 52,GPU 9,DT,DT,DT,Desktop,IND,3140458.608
CPU 20,RAM 15,S 23,GPU 17,DT,DT,DT,Desktop,FRA,3305813.077
CPU 23,RAM 15,S 54,GPU 28,12,FHD+,Non-Touch,Laptop,FRA,2919564.935
CPU 22,RAM 3,S 52,GPU 26,DT,DT,DT,Desktop,FRA,4649547.056
CPU 1,RAM 7,S 23,GPU 32,15,QHD+,Non-Touch,Laptop,IND,10616103.876
CPU 14,RAM 15,S 4,GPU 5,DT,DT,DT,Desktop,IND,1234048.956
CPU 20,RAM 3,S 54,GPU 7,15,FHD,Non-Touch,Laptop,IND,5261517.576
CPU 25,RAM 13,S 40,GPU 28,17,FHD,Non-Touch,Laptop,BRA,1603253.6737
CPU 20,RAM 16,S 56,GPU 14,15,FHD,Non-Touch,Laptop,IND,3216776.052
CPU 20,RAM 3,S 55,GPU 28,15,UHD,Non-Touch,Desktop,AUS,3690098.58
CPU 5,RAM 15,S 41,GPU 28,14,FHD,Non-Touch,Laptop,FRA,1994892.9
CPU 20,RAM 7,S 64,GPU 28,DT,DT,DT,Desktop,FRA,3031207.179
CPU 12,RAM 5,S 70,GPU 19,DT,DT,DT,Desktop,FRA,1891238.986
CPU 12,RAM 15,S 23,GPU 10,17,HD+,Non-Touch,Laptop,FRA,1280552.007
CPU 5,RAM 13,S 39,GPU 28,14,FHD,Non-Touch,Laptop,CHN,2193483.348
CPU 20,RAM 3,S 37,GPU 14,15,FHD,Non-Touch,Laptop,GBR,4100255.936
CPU 20,RAM 3,S 54,GPU 28,14,QHD+,Touch,Laptop,CAN,4094998.18
CPU 2,RAM 15,S 23,GPU 10,15,HD+,Touch,Laptop,FRA,1094890.944
CPU 22,RAM 15,S 56,GPU 28,DT,DT,DT,Desktop,GER,1680268.8
CPU 20,RAM 15,S 53,GPU 9,DT,DT,DT,Desktop,FRA,1893128.965
CPU 20,RAM 15,S 41,GPU 28,12,QHD+,Touch,Laptop,USA,3490429.32
CPU 25,RAM 13,S 70,GPU 5,15,FHD,Non-Touch,Laptop,FRA,1433029.5
CPU 20,RAM 3,S 56,GPU 5,DT,DT,DT,Desktop,IND,4497149.566
CPU 7,RAM 15,S 41,GPU 28,14,FHD,Non-Touch,Laptop,AUS,1232688.345
CPU 25,RAM 15,S 56,GPU 28,15,FHD,Non-Touch,Laptop,AUS,1900393.215
CPU 20,RAM 3,S 23,GPU 29,15,FHD,Non-Touch,Laptop,IND,5235997.48
CPU 25,RAM 15,S 54,GPU 14,15,FHD,Non-Touch,Laptop,AUS,1996090.11
CPU 20,RAM 15,S 70,GPU 14,DT,DT,DT,Desktop,FRA,2405948.895
CPU 25,RAM 15,S 40,GPU 28,12,HD+,Non-Touch,Laptop,FRA,1750436.982
CPU 9,RAM 15,S 59,GPU 14,DT,DT,DT,Desktop,FRA,1733458.86
CPU 25,RAM 15,S 40,GPU 5,DT,DT,DT,Desktop,FRA,1973950.888
CPU 25,RAM 3,S 23,GPU 5,DT,DT,DT,Desktop,FRA,1863378.825
CPU 10,RAM 15,S 23,GPU 17,15,FHD,Non-Touch,Laptop,AUS,2503943.505
CPU 20,RAM 3,S 5,GPU 28,DT,DT,DT,Desktop,FRA,2283271.9
CPU 20,RAM 15,S 23,GPU 28,14,HD+,Touch,Laptop,CHN,1602565.146
CPU 20,RAM 9,S 54,GPU 10,15,UHD,Touch,Laptop,FRA,4443788.839
CPU 6,RAM 13,S 40,GPU 28,13,FHD+,Touch,Laptop,CAN,2562377.09
CPU 20,RAM 3,S 56,GPU 7,15,FHD,Non-Touch,Laptop,CAN,4129042.4175
CPU 10,RAM 15,S 70,GPU 18,DT,DT,DT,Desktop,GER,3768828.532
CPU 20,RAM 3,S 23,GPU 7,DT,DT,DT,Desktop,CAN,4133192.7
CPU 25,RAM 15,S 56,GPU 18,15,FHD,Non-Touch,Laptop,AUS,2796630.165
CPU 10,RAM 3,S 56,GPU 19,DT,DT,DT,Desktop,IND,3256476.09
CPU 6,RAM 15,S 54,GPU 5,15,FHD,Touch,Laptop,IND,3255403.116
CPU 20,RAM 15,S 55,GPU 19,15,FHD,Non-Touch,Laptop,BRA,3122058.42347
CPU 20,RAM 3,S 56,GPU 26,15,FHD,Non-Touch,Laptop,IND,5765285.064
CPU 20,RAM 15,S 54,GPU 28,13,QHD,Touch,Laptop,IND,4007228.316
CPU 20,RAM 3,S 52,GPU 28,17,FHD,Touch,Laptop,FRA,3357901.4
CPU 20,RAM 7,S 41,GPU 28,15,FHD,Non-Touch,Desktop,CHN,11265080.4
CPU 20,RAM 3,S 41,GPU 19,13,UHD,Touch,Laptop,AUS,6352426.08
CPU 25,RAM 13,S 23,GPU 29,15,FHD,Non-Touch,Laptop,GER,1129936.57
CPU 20,RAM 16,S 53,GPU 5,15,FHD,Non-Touch,Laptop,FRA,1913288.741
CPU 22,RAM 3,S 56,GPU 18,17,FHD,Non-Touch,Laptop,AUS,8861430.95775
CPU 12,RAM 3,S 56,GPU 9,17,FHD,Non-Touch,Laptop,FRA,2980815.6
CPU 20,RAM 15,S 54,GPU 28,12,FHD+,Touch,Laptop,AUS,2460115.14
CPU 22,RAM 3,S 52,GPU 26,17,UHD,Non-Touch,Laptop,AUS,7348525.485
CPU 25,RAM 13,S 70,GPU 4,15,FHD,Non-Touch,Laptop,CAN,1662524.5
CPU 6,RAM 13,S 41,GPU 28,14,FHD,Non-Touch,Laptop,AUS,2111943.96
CPU 20,RAM 7,S 56,GPU 24,18,FHD,Non-Touch,Laptop,AUS,11536239.54
CPU 20,RAM 3,S 23,GPU 28,15,UHD,Touch,Laptop,IND,9014490.702
CPU 25,RAM 13,S 53,GPU 5,15,FHD,Non-Touch,Laptop,CAN,1748537.245
CPU 20,RAM 7,S 23,GPU 14,DT,DT,DT,Desktop,FRA,2334737.678
CPU 25,RAM 15,S 54,GPU 18,15,FHD,Non-Touch,Laptop,IND,4287307.57
CPU 22,RAM 3,S 56,GPU 17,17,FHD,Non-Touch,Laptop,FRA,3266528.65
CPU 19,RAM 12,S 55,GPU 11,DT,DT,DT,Desktop,AUS,16448058.144
CPU 20,RAM 3,S 54,GPU 28,12,FHD,Touch,Laptop,FRA,2842129.29
CPU 20,RAM 3,S 23,GPU 5,27,UHD,Touch,Desktop,AUS,4292436.645
CPU 20,RAM 3,S 4,GPU 28,17,FHD,Touch,Laptop,FRA,2142678.573
CPU 12,RAM 3,S 13,GPU 18,DT,DT,DT,Desktop,FRA,2739050.601
CPU 20,RAM 15,S 53,GPU 28,15,UHD,Touch,Laptop,FRA,1947287.601
CPU 25,RAM 15,S 23,GPU 19,17,FHD,Non-Touch,Laptop,IND,3117989.756
CPU 20,RAM 3,S 55,GPU 19,17,UHD,Non-Touch,Laptop,BRA,5138077.82285
CPU 20,RAM 7,S 56,GPU 31,DT,DT,DT,Desktop,IND,6200108.81
CPU 20,RAM 15,S 5,GPU 7,17,QHD,Non-Touch,Laptop,FRA,3433898.538
CPU 10,RAM 15,S 54,GPU 12,DT,DT,DT,Desktop,FRA,2272724.559
CPU 25,RAM 15,S 40,GPU 28,15,UHD,Non-Touch,Laptop,FRA,3094783.02
CPU 12,RAM 15,S 23,GPU 32,DT,DT,DT,Desktop,FRA,1497747.3
CPU 26,RAM 13,S 67,GPU 28,14,HD,Non-Touch,Laptop,FRA,464481.815
CPU 20,RAM 15,S 56,GPU 28,DT,DT,DT,Desktop,BRA,4677166.61405
